,,,,बेरुउ,,,,,आय,,,,,व्यय,,,मौज्दात
७९,"यमुनामाइ गाउँपालिका, रौतहट",रौतहट,८६४१०८,३५५४१,४.११,३३५०८,३०२६१५,१५६२६,९६१९९,३६४९,४७८२,४२२८७१,१९९२१२,१२२४८७,११९४५३८,४४१२३७,१५१४३
५०,"गढीमाई नगरपालिका, रौतहट",रौतहट,१५५६४५३,२६८७८९,१७.२७,५२८६,४०४३४९,२२८६१,९८७७०,३२९४३,२१७१५५,७७६०७८,३२५०३५,२१८५७५,२३६७६५,७८०३७५,९८९
८१,माधव नारायण नगरपालिका,'रातहट,१४५४५६३,ब६१५८०,४.२३,२३१४७,३६७४९७,२०४७६,९३१७०,११६४५८०,२१५९४६,७०८७४७,३००७५०,२२०७५९,२२४३०८,७४५८१६,१६०७७
८२,"दुर्गा भगवती गाउँपालिका, रौतहट",रौतहट,८६३२७४५,९७७१७,९९.३३,२०६८४,२४७०१२,१६९९४,६४४६,१५४२,१०३८३०,४३४२२३,२२६६५६,९२६५,१०३१३१,४२९०५२,२६०५४५
८३,"राजदेवी नगरपालिका, रोतहट",रोतहट,९४८६७७,३६११६,३.५१,४१७०,३३४९०९,२१०३०,८४१४९,१०२९३,१९२१९,४६९६००,३२३७४९,१४०१४७,१५१८१,४४७९०७६,३४५७०२
८४,"बृन्दावन नगरपालिका, रौतहट",रौतहट,१५९०६८०,१३१८९६,८.२९,३०७६३,३४७७७५,२३०५०,११८३०७,९९४४९,१९८६०३,७८७१८३,३६९२७९,२०७४२७,२२६७९२,८०३४९७,१४४४९
८५,"देवाही गोनाही नगरपालिका, रौतहट",रौतहट,९९,,२१५,इ६१४६,इ२२५४५१,१९७११,,४६४,१४७५५०,१००४५१३,र२४७४०४,१७२११०,१३८६४२,५६८३३६,८३२३
८६,"चन्द्रपुर नगरपालिका, रौतहट",रोट,२६७०४१३,०२२३,२२५,९४४०९,ब१६४३४,४३२४,१७१९२०,१५७४९८,इ२७५१९,१३३००९५,ब६४९४६३,इ३४२९४२,३४७२१२,१३३९६१८,९३६८६
५७,"गौर नगरपालिका, रौतहट",रौतहट,९३९५९०४,३९१६८०,२.९७,२२२६१,३६८९४५०,२३००३,९४५०६,२३०३७,१५०३३२,,३३९७६५,१५०४५२३,१४५९९८९,ब५८२७७,२३८१२
८८,"बौँधीमाई नगरपालिका, रौतहट",रोतहट,१२०४१५६,२१५६३,"१,७६९",५१२६३,४४४८२२,२३८२७,१३२०४,०,४०९६,१८५९५२,२२८२३७,२०६१७६३,१८३७६१,ब६१८२०४,४९०१२
८९,"कटहरिया नगरपालिका, रौतहट",रातहट,१३६५५७१,११२१७०,८२१,४११७१,३५८८८९,१७७३२,९५०२०,३५४३,१८८९५७,६६४१४१,३४५४८३९,१४७२४५,१९९३४५,७०१४२९,३८५३
९०,"गुजरा नगरपालिका, रौतहट",रौतहट,१४१८९०२,२६१८२,"१,८८५",१०३४२७,३६०३५५,११६०६,१३७०७१,४१०९५,१८४०१५,७३४१४२,२९३४५६१,१६९४१२,२२१७८७,६८४७६०,१५२८०९
९१,"राजपुर नगरपालिका, रौतहट",रोतहट,११११६४६,८७०८३,७८३,४८००,४०१९९४५,२२८२३,१०३७२९,४१२६,र२७९२४,१६०४९६,२६८६०१,र२४९४८४,र२२९९६,५५१०५१,१४३४४
९२,"परोहा नगरपालिका, रौतहट",रौतहट,१४८४९८९,इ३७७९७,"२,४५५",१९२७१,६८९७७७,इ१५९८,१०२७४,,र२०२३०,७५१८७९,२७७१५७,४१३२९५,२६२८,७३३११०,३८०४०
९३,"ईशनाथ नगरपालिका, रौतहट",रौतहट,१२९०५९७,४९,३८३,र६४८ड,२९१६०८,२३६७,१०३२१६,ब०२४,२२२५२६,६४६७८१,४७४०३४,१६०६०९,९१७३,६४३८१६,२९४४५३
९४,"गरुडा नगरपालिका, रौतहट",रौतहट,१२३००५०,६४६२९,,२६१४६,४३६३१६,२४४६७,१३३०१८,८२४३,१५७१,६१३६२५,४२४०४४,१५०३९०,१९९२,६१६४२५,२३३४६
९५,"देवताल गाउँपालिका, बारा",बारा,६१५७८७,१३४६६,१.४७,७७८१,२०५३७९,३१५४५०,६९४११,२९६९,१३६०१८,४४५३२७,२०६४५८०,११९३९२,१४४६१०,४७०४६०,०६४८
९६,"निजगढ नगरपालिका, बारा",बारा,१७४७६५३,११३७४१,६.५१,१२५९६७,३७३७१०,१९१४५,१३७४२८,२८१७,३०८९००,८६७३६१,४७५६६०,१९०५४९,२१४०८४,५५०२९२,११३०३६
९७,"पचरीता नगरपालिका, वारा",बारा,१२५६३०२,५६५९०,,छ६३०७,३४०५५५,२०२६६,ब९२४८०,१६४२३,१३४३४५,६०४०७०,३२३०४९,१३३२८३,१९४५९०१,ब५२२३३,२०१४४
