contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
IDOKAVRE/W/NCB/52/081/82,Infrastructure Development Office Kavrepalanchok,"Upgrading Works on Namobuddha Dapcha Nepane Gahate Falamesaaghu Shikhar Ambote Sanakot Tara Khasne Lek Gokule Road, Namobuddha Municipality",32986068.78,Works,NCB,In-Progress
BM/W/NCB/082/083/10,Besisahar Municipality,"Besishahr Universal Chowk to British Welfare Road Upgrading Work, Ward No. 7",1681953.0,Works,NCB,Completed
04/Works/NCB/KM/082/085,"kalika Municipality Office , Chitwan",Kholesimal Kamlachowk ClubChowk towards Shaktikhor Road Upgrading Works,14798676.2,Works,NCB,In-Progress
05/Works/NCB/KM/082/085,"kalika Municipality Office , Chitwan",Different Road Construction in Ward No. 5,8244050.16,Works,NCB,In-Progress
IDOKAVRE/W/NCB/49/081/82,Infrastructure Development Office Kavrepalanchok,"Upgrading Works on Sunkoshipul Mainajung Khatrigaun Tekanpur Ward Office Bhanjyangbeshi Road, Temal Rural Municipality",20866241.23,Works,NCB,Completed
JRM/W/SQ/1/2082/083,Janaki Rural Municipality,"Road Maintenance work (Gravelling) at all wards of Janaki Rural Municipality, Kailali",962250.5,Works,Sealed Quotation,In-Progress
IDOKAVRE/W/NCB/50/081/82,Infrastructure Development Office Kavrepalanchok,"Upgrading Works on Potakhola Lurpungdada Dhonkarpa Road, Roshil Rural Municipality - 5, Kavre.",61750751.03,Works,NCB,In-Progress
JRM/GOODS/SQ/01/2082/083,Janaki Rural Municipality,Procurement of Medicine for basic and emergency Health Services,345653.3,Goods,Sealed Quotation,In-Progress
06/Works/NCB/KM/082/085,"kalika Municipality Office , Chitwan",Different Road Upgrading Works at Kalika Municipality Ward no 8 and 9,5442908.8,Works,NCB,In-Progress
NCB/JRM/W/04/2082/083,Janaki Rural Municipality,"Supply, Delivery and Installation of Smart Street Lighting System work at Durgauli bazar",1424942.22,Works,NCB,In-Progress
Mahalaxmi/W/SQ/14/2082/83,"Mahalaxmi Municipality, Office of Municipal Executive",Changathali Swastha Chowki Sudrrhikarana Mahalaxmi-7,1111366.54,Works,Sealed Quotation,Completed
NCB/JRM/GOODS/04/2082/083,Janaki Rural Municipality,"Supply, Delivery, Installation and Commissioning of Smart Boards in Community Schools of Janaki Rural Municipality, Kailali",1988800.0,Goods,NCB,In-Progress
07/TRM/NCB/Goods/2082-083,Tamankhola Rural Municipality,Procurement of Technology-friendly Teaching and Learning Items.,4443160.0,Goods,NCB,Completed
07/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Different Road Construction in Ward No. 2,5577388.24,Works,NCB,In-Progress
Mahalaxmi/W/NCB/13/2082/83,"Mahalaxmi Municipality, Office of Municipal Executive",Upgrading roadworks of lalitpur district mahalaxmi na. pa. ward no. 10 from bosedole gopal ghar muni towards kancha ko ghar saahu tole samma ko road,1875628.49,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/04,Melamchi Municipality Office,Upgrading Works Of Falame Shikharpur Road,3705307.39,Works,NCB,In-Progress
08/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Different Road Construction in Ward No. 3,6191788.08,Works,NCB,In-Progress
IDOKAVRE/W/NCB/53/082/83,Infrastructure Development Office Kavrepalanchok,"Upgrading Works on Panauti Khopasi Kamidanda Taaldhunga Road (Syaurethali-Aahaldanda-Chitre Section), Khanikhola Rural Municipality",149134486.0,Works,NCB,In-Progress
Mahalaxmi/W/NCB/10/2082/83,"Mahalaxmi Municipality, Office of Municipal Executive",Upgrading and blacktop works from jyagata to lalitghumit road,17848266.48,Works,NCB,In-Progress
01/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan","Chapagaudi Dhekhi Bungkhola Hudai Serbas Sadak Strounnati, Kalika-08",20390233.77,Works,NCB,In-Progress
09/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",PREFAB BUILDING CONSTRUCTION AT WARD 6,2142036.96,Works,NCB,Completed
