source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page133_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page133_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page133_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page134_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page134_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page134_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page135_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page135_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page135_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page136_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page136_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page136_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page137_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page137_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page137_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page138_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page138_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page138_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page139_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page139_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page139_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page140_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page140_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page140_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page141_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page141_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page141_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page142_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page142_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page142_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page143_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page143_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page143_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page144_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page144_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page144_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page145_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page145_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page145_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page146_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page146_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page146_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page147_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page147_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page147_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page148_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page148_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page148_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page149_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page149_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page149_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page150_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page150_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page150_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page151_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page151_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page151_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page152_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page152_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page152_table1_unknown.csv
