contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
GTMSRRP/337011094/076/77-008,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"""Slope Stabilization and Protection for Road Slope Disaster Management of Tirtire Bhir Landslide, Nuwakot (Ch. 32+200)""",156819968.15,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/16/075-76,"Urban Development and Building Office, Ilam","Construction of Jestha Nagarik Community Building, Barhadashi, Jhapa",13665180.54,Works,NCB,Completed
GTMSRRP/337011094/076/77-001,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,Upgrading of Mailung Syphrubesi Road To Dedicated Double Lane Standard (Chainage 46+000 to 64+841),1451339084.84,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/04/075-76,"Urban Development and Building Office, Ilam","Road and Drain Construction work at Laxmimarga-Baluwatar-Chakrapath, Damak, Jhapa",35399339.95,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/19/075-76,"Urban Development and Building Office, Ilam","Construction of Multipurpose Building In Naya Bazaar, Maijogmai,Ilam",25631510.54,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/15/075-076,"Urban Development and Building Office, Ilam",Construction of Road and Drains in Fungling Municipalit Taplejung,76017724.0,Works,NCB,In-Progress
RIDORUP/RUP/134/NCB/078-79/154,"Road Infrastructure Development office, Rupandehi",Upgrading - Bagahawa Gaun- Kaughat Road Rupandehi,2300104.56,Works,NCB,Completed
UDBO/ILAM/W/NCB/03/075-76,"Urban Development and Building Office, Ilam","Construction Of Miklajung Awasiye Bhawan,Rabi,Miklajung Rural Muncipality, Panchthar",38991442.47,Works,NCB,Completed
UDBO/ILAM/W/NCB/17/075-76,"Urban Development and Building Office, Ilam","Construction of Guest House In Sandakpur Hill, Ilam",28591514.58,Works,NCB,In-Progress
UDBO/ROLPA/NCB/WORKS/02-2078/79,"Urban Development and Building Office, Rolpa","Cultural Theater Access Road and Footpath Construction Work, Rolpa na pa,Rolpa.",1938189.61,Works,NCB,In-Progress
UDBO/ROLPA/NCB/WORKS/03-2078/79,"Urban Development and Building Office, Rolpa","Tribeni Nerpa Bazar Basti Bikash (Road and Drain Work),Rolpa.",3703172.56,Works,NCB,In-Progress
UDBO/ROLPA/NCB/WORKS/04-2078/79,"Urban Development and Building Office, Rolpa","Jibang Kafaldanda Green Park Construction work, Rolpa Na. Pa. -06, Rolpa.",4217055.11,Works,NCB,In-Progress
UDBO/ROLPA/NCB/WORKS/06-2078/79,"Urban Development and Building Office, Rolpa","Sushil Koirala Smriti Building Construction Works, Liwang, Rolpa .",4115500.82,Works,NCB,In-Progress
MIP/TMC/WORKS/NCB-01/2077-78,Mahakali Irrigation Project-III Stage,Construction of Canal and Related Structures,36369616.45,Works,NCB,Completed
UDBO/ILAM/W/NCB/07/075-76,"Urban Development and Building Office, Ilam","Construction of area police office cum barrack & toilet block, manglabare,ilam",22213535.81,Works,NCB,Completed
UDBO/ILAM/W/NCB/13/076-77,"Urban Development and Building Office, Ilam","Construction Of Multi-Storey Parking and Information Centre, Ilam-7",127231235.32,Works,NCB,In-Progress
UDBO/DANG/SQ/WORKS/24-2078/79,"Urban Development & Building Office Ghorahi, Dang","Dabri Pipal Bot - Kanjawar Road Construction Works, Tulsipur 15 Dang.Re",1700636.55,Works,Sealed Quotation,In-Progress
UDBO/DANG/NCB/WORKS/13-2078/79,"Urban Development & Building Office Ghorahi, Dang","Gurukul School-Deepshikha Chowk-Army Barrack Integrated Infrastructure Construction Works( Drain Works ), Ghorahi 15, Dang.",3230345.43,Works,NCB,In-Progress
NCB-18/078/79,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Naglibang Trail Bridge",92993247.9,Works,NCB,Completed
UDB-RUP/34701013/078-79/50,"Urban Development and Building Office, Rupandehi","Construction of 15 Bed Ayurbed Hospital Building,Taulihawa,Kapilvastu",114110367.41,Works,NCB,In-Progress
UDBO/DANG/NCB/WORKS/11-.2078/79,"Urban Development & Building Office Ghorahi, Dang","OM Shanti Building Construction Work (Talla Thap), Ghorahi Dang.",3552944.71,Works,NCB,In-Progress
UDB-RUP/34701014/NCB/078-79/53,"Urban Development and Building Office, Rupandehi","Construction of Drain at Suddodhan-02, Bangai, Rupandehi. (Sahari Purbadhar Nirman)",2529089.73,Works,NCB,Completed
UDBO/DANG/NCB/WORKS/17-2078/79,"Urban Development & Building Office Ghorahi, Dang","B.P. Smriti Building Construction Works (Talla Thap), Lamahi, Dang.",4131919.69,Works,NCB,In-Progress
NCB-17/078/79,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Kathal Malhaniya Multispan Trail Bridge",242793704.2,Works,NCB,Completed
UDBO/DANG/NCB/WORKS/05-2078/79,"Urban Development & Building Office Ghorahi, Dang","Gobardiha BastiBikas Road And Drain Construction Works, Gadhawa 3, Dang.",1736181.38,Works,NCB,In-Progress
RIDO/RUP/LRBP/BR/134/NCB/078-79/51,"Road Infrastructure Development office, Rupandehi","Construction of Tinau Khola Motorable RCC Tee Beam Bridge , Duimuhan , Rupandehi",135157845.58,Works,NCB,Completed
UDBO/DANG/NCB/WORKS/03-2078/79,"Urban Development & Building Office Ghorahi, Dang","GauriShankar Mandir-Lokmani Chowk-Bhagwanpur Road And Drain Construction Works., Ghorahi 16, Dang.",3359716.58,Works,NCB,In-Progress
UDB-RUP/34701014/NCB/078-79/48,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure at Children Park, Sarawal-01, Rajahawa, Nawalparasi (West)",894803.78,Works,NCB,In-Progress
