source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/extracted_tables/page_132_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Final Arranged Data/Federal/page_132_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_132_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_133_table_1.csv,11,3,0,0,8,/home/suchita/Desktop/Final Arranged Data/Federal/page_133_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_133_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_134_table_1.csv,15,3,0,0,12,/home/suchita/Desktop/Final Arranged Data/Federal/page_134_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_134_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_135_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_135_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_135_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_136_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_136_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_136_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_137_table_1.csv,14,4,0,0,10,/home/suchita/Desktop/Final Arranged Data/Federal/page_137_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_137_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_138_table_1.csv,5,1,0,0,4,/home/suchita/Desktop/Final Arranged Data/Federal/page_138_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_138_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_139_table_1.csv,9,2,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_139_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_139_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_13_table_1.csv,27,1,0,0,26,/home/suchita/Desktop/Final Arranged Data/Federal/page_13_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_13_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_140_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_140_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_140_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_141_table_1.csv,9,2,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_141_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_141_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_142_table_1.csv,11,3,0,0,8,/home/suchita/Desktop/Final Arranged Data/Federal/page_142_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_142_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_143_table_1.csv,9,2,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_143_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_143_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_144_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Final Arranged Data/Federal/page_144_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_144_table_1_unknown.csv
